Name,Nation,Position,Club,Age,GK Rating,DL Rating,DC Rating,DR Rating,DM Rating,ML Rating,MC Rating,MR Rating,AML Rating,AMC Rating,AMR Rating,FS Rating,TS Rating,Unique ID,Вибір
"Foden, Phil",Англия,AM RLC,Man City,23,37.99%,64.52%,50.48%,64.52%,63.00%,82.82%,84.30%,82.04%,90.03%,87.46%,89.05%,86.86%,76.04%,28108494,0
"Bellingham, Jude",Англия / Ирландия,"DM, AM C",R. Madrid,20,36.57%,71.47%,64.33%,71.47%,85.69%,88.12%,90.01%,88.12%,89.24%,87.22%,89.24%,88.44%,83.83%,29232937,0
"Dias, Ruben",Португалия,D C,Man City,26,39.54%,72.44%,89.87%,72.44%,68.65%,63.36%,65.58%,63.36%,63.36%,56.56%,63.36%,60.02%,63.10%,55070299,0
"ter Stegen, Marc-Andre",Германия,GK,Barcelona,31,89.72%,51.50%,54.19%,51.50%,56.03%,54.77%,56.07%,54.77%,54.77%,52.64%,54.77%,53.80%,56.27%,35017428,0
"Griezmann, Antoine",Франция / Португалия / Страна Басков,"AM RLC, F C",A. Madrid,32,34.28%,65.19%,54.79%,65.19%,63.53%,87.18%,80.75%,86.65%,89.62%,86.52%,89.62%,89.02%,81.75%,67086656,0
"Fernandes, Bruno",Португалия,AM RC,Man UFC,28,34.33%,63.29%,52.81%,63.29%,64.60%,86.97%,87.05%,89.02%,88.57%,87.33%,89.44%,85.21%,78.90%,43124203,0
"Rice, Declan",Англия / Ирландия,"D C, DM",Arsenal,24,39.20%,74.56%,84.23%,74.56%,89.41%,71.29%,89.17%,71.29%,71.29%,65.21%,71.29%,68.71%,68.20%,28106491,0
"Kvaratskhelia, Khvicha",Грузия,AM L,Parthenope,22,33.99%,58.78%,48.68%,58.78%,57.82%,86.19%,64.32%,85.11%,89.24%,85.89%,85.68%,86.87%,77.81%,59130638,0
Bruno Guimaraes,Бразилия / Испания,DM,Newcastle,25,38.78%,69.29%,64.32%,69.29%,86.31%,86.38%,88.81%,71.55%,79.84%,68.98%,71.55%,70.35%,66.69%,19297055,0
"Camavinga, Eduardo",Франция / Конго / Ангола,"D L, DM",R. Madrid,20,39.23%,88.79%,66.16%,72.42%,86.16%,68.63%,85.81%,68.63%,68.63%,62.53%,68.63%,67.10%,66.72%,49056243,0
"Dybala, Paulo",Аргентина / Польша / Италия,"AM RC, F C",AS Roma,29,32.38%,55.30%,43.62%,55.30%,56.70%,78.31%,62.66%,79.66%,84.73%,87.10%,86.41%,88.65%,79.65%,14044150,0
Pedri,Испания,AM RLC,Barcelona,20,38.07%,63.95%,49.34%,63.95%,62.80%,86.59%,84.62%,87.51%,87.93%,87.14%,87.93%,70.24%,60.68%,67293495,0
"Araujo, Ronald",Уругвай / Испания,D RC,Barcelona,24,37.93%,68.18%,87.92%,83.95%,76.42%,59.96%,62.04%,59.96%,59.96%,54.13%,59.96%,58.57%,62.61%,78085068,0
Kim Min-Jae,Южная Корея,D C,FC Bayern,26,37.00%,68.29%,87.87%,77.46%,65.81%,60.73%,62.88%,60.73%,60.73%,54.86%,60.73%,59.13%,63.40%,89063073,0
"Gundogan, Ilkay",Германия / Турция,"DM, AM C",Barcelona,32,39.95%,68.38%,59.06%,68.38%,83.20%,85.70%,87.86%,85.13%,85.70%,84.20%,85.13%,70.49%,65.24%,91003875,0
"Rodriguez, James",Колумбия / Испания,AM RLC,SPO,32,32.34%,57.73%,49.81%,57.73%,59.94%,85.86%,79.69%,85.86%,86.64%,87.84%,87.00%,82.84%,76.30%,76002390,0
"Kulusevski, Dejan",Швеция / Северная Македония,AM RC,Tottenham,23,32.63%,61.79%,49.35%,61.79%,61.89%,84.84%,80.79%,87.22%,85.74%,83.60%,87.83%,84.24%,78.72%,43295814,0
"Isak, Alexander",Швеция / Эритрея,ST,Newcastle,23,34.64%,58.41%,51.15%,58.41%,58.47%,82.57%,62.78%,82.57%,82.57%,78.99%,82.57%,87.63%,82.27%,93070286,0
"Hernandez, Lucas",Франция / Испания,D LC,Paris SG,27,36.22%,87.62%,85.03%,83.85%,66.36%,64.76%,65.20%,64.76%,64.76%,57.38%,64.76%,60.39%,62.33%,67197145,0
"Kimmich, Joshua",Германия,"D/WB R, DM",FC Bayern,28,37.69%,69.42%,72.09%,85.48%,85.89%,83.34%,87.60%,83.34%,82.04%,78.23%,82.04%,67.12%,63.54%,92039023,0
"Mahrez, Riyad",Алжир / Франция / Марокко,AM RL,Al-Ahli (KSA),32,31.79%,57.01%,43.48%,57.01%,56.21%,85.49%,62.65%,87.27%,85.89%,84.61%,87.58%,84.01%,72.82%,85078058,0
"Barella, Nicolo",Италия,M C,Inter,26,36.38%,68.88%,57.68%,68.88%,81.71%,81.84%,87.50%,81.84%,75.93%,78.23%,75.93%,68.82%,63.54%,43139595,0
"Diaz, Luis",Колумбия,AM RL,Liverpool,26,36.05%,60.36%,50.46%,60.36%,58.99%,80.45%,63.52%,79.40%,87.44%,82.10%,86.14%,85.24%,77.77%,76049803,0
"Grealish, Jack",Англия / Ирландия,AM RLC,Man City,27,33.92%,63.51%,53.03%,63.51%,61.58%,86.78%,79.99%,86.09%,87.39%,82.37%,86.09%,82.92%,77.27%,28067800,0
"Stones, John",Англия,"D RC, DM",Man City,29,40.36%,71.26%,86.34%,87.37%,85.75%,68.27%,69.47%,68.27%,68.27%,64.41%,68.27%,67.25%,66.97%,28060397,0
Rodrygo,Бразилия / Испания,"AM RL, ST",R. Madrid,22,34.92%,61.29%,52.12%,61.29%,60.59%,83.92%,64.20%,84.82%,86.59%,81.00%,86.89%,87.33%,81.46%,19306929,0
"Martinez, Emiliano",Аргентина,GK,Aston Villa,30,87.19%,46.26%,45.93%,46.26%,49.99%,49.35%,49.89%,49.35%,49.35%,46.81%,49.35%,48.56%,50.13%,14020367,0
"Verratti, Marco",Италия,DM,Al-Arabi,30,36.65%,68.97%,57.52%,68.97%,83.66%,72.11%,87.19%,72.11%,72.11%,84.05%,72.11%,69.04%,61.48%,43026579,0
"Trippier, Kieran",Англия,D/WB R,Newcastle,32,36.22%,85.10%,60.73%,87.17%,67.09%,81.29%,68.02%,82.78%,75.26%,62.65%,76.45%,64.44%,61.96%,28018613,0
"Maddison, James",Англия / Ирландия,AM RLC,Tottenham,26,36.35%,62.38%,49.92%,62.38%,61.06%,86.02%,81.93%,84.34%,86.02%,84.73%,87.02%,80.40%,71.29%,28093567,0
Thiago,Испания / Бразилия,DM,Liverpool,32,38.97%,68.18%,58.43%,68.18%,83.03%,85.30%,86.97%,85.30%,85.30%,84.78%,85.30%,69.33%,63.33%,67022040,0
"Romero, Cristian",Аргентина,D C,Tottenham,25,38.31%,67.67%,86.95%,78.66%,65.59%,59.20%,62.29%,59.20%,59.20%,54.54%,59.20%,57.39%,60.23%,14130029,0
"Pope, Nick",Англия,GK,Newcastle,31,86.81%,43.80%,45.32%,43.80%,46.75%,42.44%,44.88%,42.44%,42.44%,37.66%,42.44%,39.39%,44.10%,29083750,0
"Nkunku, Christopher",Франция / ДР Конго,"AM RLC, F C",Chelsea,25,34.40%,61.59%,53.95%,72.27%,60.48%,82.50%,78.46%,82.50%,84.84%,84.10%,84.84%,86.77%,80.61%,85140301,0
"de Jong, Frenkie",Голландия,DM,Barcelona,26,40.56%,67.49%,69.48%,67.49%,83.00%,86.06%,86.75%,86.06%,86.06%,84.86%,86.06%,71.03%,64.93%,37047745,0
"Sane, Leroy",Германия / Франция / Сенегал,AM RLC,FC Bayern,27,33.06%,61.09%,51.49%,61.09%,59.80%,85.00%,77.31%,85.00%,86.66%,83.09%,86.05%,82.42%,74.62%,91138280,0
"Dembele, Ousmane",Франция / Мавритания,AM RL,Paris SG,26,33.44%,58.15%,45.74%,58.15%,54.39%,84.99%,60.82%,84.99%,86.36%,80.39%,86.65%,82.64%,72.71%,85140178,0
"Milinkovic-Savic, Sergej",Сербия / Испания,AM C,Al-Hilal (KSA),28,35.59%,65.17%,63.83%,65.17%,79.50%,81.25%,85.78%,80.35%,82.03%,81.27%,81.25%,84.36%,86.65%,62127037,0
"Kante, N'Golo",Франция / Мали,DM,Al-Ittihad,32,37.86%,71.20%,61.11%,71.20%,85.14%,81.02%,86.65%,81.02%,80.00%,76.00%,81.02%,64.81%,60.62%,85081880,0
"Ben Yedder, Wissam",Франция / Тунис,ST,AS Monaco,32,33.99%,56.86%,47.94%,56.86%,57.57%,74.63%,61.81%,75.45%,80.61%,80.79%,81.64%,86.53%,79.26%,85071175,0
"Carvajal, Dani",Испания,D/WB R,R. Madrid,31,37.64%,84.44%,60.66%,86.50%,65.47%,66.41%,65.36%,77.93%,66.41%,59.33%,72.31%,64.31%,62.42%,67139735,0
"Osimhen, Victor",Нигерия,ST,Parthenope,24,31.94%,56.84%,54.75%,56.84%,57.07%,72.49%,60.09%,72.49%,78.29%,62.63%,78.29%,86.49%,86.32%,13158205,0
"Asensio, Marco",Испания / Голландия,AM RLC,Paris SG,27,36.48%,61.09%,50.21%,61.09%,60.72%,82.45%,78.11%,83.51%,86.16%,83.13%,86.46%,79.41%,72.26%,67197125,0
"Rudiger, Antonio",Германия / Сьерра-Леоне,D C,R. Madrid,30,35.66%,80.57%,86.31%,81.60%,63.62%,59.30%,60.29%,59.30%,59.30%,51.85%,59.30%,57.16%,61.70%,92023410,0
"Lukaku, Romelu",Бельгия / ДР Конго,ST,AS Roma,30,30.15%,57.84%,57.18%,57.84%,59.36%,63.90%,60.66%,63.90%,63.90%,59.20%,63.90%,83.12%,86.26%,18007344,0
"Felix, Joao",Португалия,"AM RLC, F C",Barcelona,23,33.62%,56.18%,47.82%,56.18%,56.23%,83.59%,73.92%,81.66%,85.33%,86.23%,83.98%,85.71%,76.89%,83169822,0
"Alexander-Arnold, Trent",Англия,"D/WB R, DM",Liverpool,24,34.66%,77.63%,57.28%,82.01%,79.60%,71.00%,83.55%,86.20%,71.00%,67.09%,79.61%,67.29%,64.04%,28104124,0
"Coates, Sebastian",Уругвай / Испания / Шотландия,D C,Sporting CP,32,33.64%,62.86%,86.17%,62.86%,62.38%,55.84%,58.71%,55.84%,55.84%,49.78%,55.84%,66.34%,74.40%,78016342,0
"Thuram, Marcus",Франция / Гваделупа / Италия,"AM L, ST",Inter,25,30.48%,58.70%,53.07%,58.70%,58.40%,77.66%,62.92%,75.80%,84.19%,78.32%,81.87%,86.12%,83.54%,48037335,0
"Icardi, Mauro",Аргентина / Италия,ST,Galatasaray,30,33.12%,55.70%,53.75%,55.70%,58.42%,66.62%,61.87%,66.62%,66.62%,65.55%,66.62%,85.97%,84.89%,67046662,0
Danilo,Бразилия,D RLC,Juventus,31,37.35%,84.92%,80.23%,85.91%,79.36%,65.36%,77.90%,75.97%,65.36%,59.79%,70.58%,62.42%,62.18%,19099575,0
"de Ligt, Matthijs",Голландия,D C,FC Bayern,23,35.82%,75.90%,85.77%,77.26%,76.74%,58.05%,72.10%,58.05%,58.05%,52.38%,58.05%,64.27%,70.55%,37055843,0
"Shaw, Luke",Англия,D LC,Man UFC,28,36.63%,85.76%,78.37%,68.60%,64.98%,67.28%,64.94%,67.28%,67.28%,61.34%,67.28%,64.00%,63.33%,29076105,0
"Olmo, Dani",Испания,AM RLC,RB Leipzig,25,37.48%,63.32%,52.05%,63.32%,75.24%,84.44%,82.98%,84.44%,85.75%,85.23%,85.75%,83.51%,75.47%,24048100,0
"Musiala, Jamal",Германия / Англия / Нигерия,AM RLC,FC Bayern,20,35.15%,63.06%,51.95%,63.06%,74.63%,83.39%,81.16%,82.34%,85.73%,84.56%,84.68%,84.05%,75.63%,28124579,0
"Upamecano, Dayot",Франция / Гвинея-Бисау,D C,FC Bayern,24,34.37%,68.29%,85.68%,80.14%,80.29%,63.47%,77.85%,63.47%,63.47%,59.25%,63.47%,61.26%,63.23%,16182894,0
"Leao, Rafael",Португалия / Ангола,"AM L, ST",AC Milan,24,32.61%,58.40%,49.27%,58.40%,56.46%,80.44%,60.55%,77.75%,85.68%,79.29%,81.71%,84.42%,79.30%,83111483,0
"Simon, Unai",Испания / Страна Басков,GK,A. Bilbao,26,85.65%,47.03%,50.71%,47.03%,49.99%,47.84%,50.15%,47.84%,47.84%,46.24%,47.84%,47.03%,49.99%,67200923,0
"Kobel, Gregor",Швейцария,GK,Borussia Dortmund,25,85.58%,51.85%,54.60%,51.85%,54.26%,51.74%,53.15%,51.74%,51.74%,49.15%,51.74%,50.78%,53.81%,98040383,0
"Zirkzee, Joshua",Голландия / Нигерия,ST,Bologna,22,34.61%,61.86%,55.16%,61.86%,62.24%,75.06%,65.60%,75.06%,80.99%,79.13%,80.99%,85.57%,81.51%,37060922,0
"White, Benjamin",Англия,D RC,Arsenal,25,39.54%,68.40%,81.98%,85.51%,79.53%,64.28%,77.47%,64.28%,64.28%,59.25%,64.28%,61.37%,62.08%,29141472,0
"Vlahovic, Dusan",Сербия,ST,Juventus,23,31.87%,57.96%,57.17%,57.96%,60.10%,63.84%,60.77%,63.84%,63.84%,60.33%,63.84%,82.84%,85.50%,62182055,0
"Chilwell, Ben",Англия / Новая Зеландия,D/WB L,Chelsea,26,38.59%,85.50%,73.90%,68.40%,63.41%,77.95%,63.03%,65.39%,77.95%,58.57%,65.39%,62.19%,61.66%,29128536,0
"Robertson, Andrew",Шотландия,D/WB L,Liverpool,29,37.60%,85.43%,58.96%,68.34%,63.49%,79.23%,63.81%,64.93%,78.39%,57.86%,64.93%,60.23%,57.32%,61043456,0
"Raya, David",Испания,GK,Arsenal,27,85.40%,45.92%,46.77%,45.92%,50.54%,50.30%,51.86%,50.30%,50.30%,50.46%,50.30%,49.53%,49.44%,29111433,0
"Alvarez, Julian",Аргентина,"AM RLC, F C",Man City,23,33.20%,60.38%,49.62%,60.38%,60.77%,76.80%,64.85%,77.37%,83.27%,80.09%,83.98%,85.37%,79.00%,14183207,0
"Grimaldo, Alex",Испания,D/WB/M L,Bayer 04,27,35.14%,81.30%,52.01%,65.04%,75.11%,85.37%,80.44%,69.63%,83.56%,77.97%,69.63%,67.64%,59.99%,67153376,0
"Skriniar, Milan",Словакия,D C,Paris SG,28,35.32%,74.22%,85.35%,79.00%,75.09%,57.09%,67.57%,57.09%,57.09%,50.23%,57.09%,55.24%,61.13%,63013145,0
"Muriqi, Vedat",Косово / Албания,ST,Mallorca,29,34.66%,59.82%,60.74%,59.82%,62.38%,62.50%,62.27%,62.50%,62.50%,64.16%,62.50%,78.50%,85.33%,11022221,0
"Di Lorenzo, Giovanni",Италия,D/WB R,Parthenope,29,34.73%,81.38%,77.43%,85.33%,64.04%,74.11%,62.96%,77.05%,68.76%,54.94%,71.12%,60.32%,63.29%,43075156,0
"Brozovic, Marcelo",Хорватия,DM,Al-Nassr (KSA),30,36.74%,68.02%,60.34%,68.02%,83.95%,75.25%,85.32%,77.86%,72.43%,75.20%,77.86%,64.97%,62.61%,24016529,0
"Maignan, Mike",Франция / Французская Гвиана / Гаити,GK,AC Milan,28,85.32%,52.39%,54.01%,52.39%,56.00%,50.70%,55.78%,50.70%,50.70%,49.12%,50.70%,48.17%,51.81%,85094520,0
"Canales, Sergio",Испания,AM C,Monterrey,32,35.68%,61.04%,49.21%,61.04%,73.67%,78.61%,82.17%,78.61%,85.18%,85.31%,85.18%,78.66%,70.38%,67053076,0
"Varane, Raphael",Франция / Мартиника,D C,Man UFC,30,36.94%,65.47%,85.26%,78.04%,70.72%,56.04%,58.12%,56.04%,56.04%,50.32%,56.04%,54.80%,59.06%,85075627,0
"Meret, Alex",Италия,GK,Parthenope,26,85.26%,45.85%,47.31%,45.85%,47.77%,44.07%,45.50%,44.07%,44.07%,39.68%,44.07%,42.35%,47.04%,43140326,0
"Mendy, Ferland",Франция / Сенегал / Гвинея-Бисау,D/WB L,R. Madrid,28,35.25%,85.24%,73.38%,82.33%,64.18%,65.70%,63.80%,65.70%,65.70%,58.63%,65.70%,62.91%,62.11%,85133751,0
"Torres, Pau",Испания,D C,Aston Villa,26,36.22%,67.29%,85.20%,67.29%,77.80%,58.67%,61.21%,58.67%,58.67%,53.65%,58.67%,55.66%,58.19%,67217522,0
"Donnarumma, Gianluigi",Италия,GK,Paris SG,24,85.19%,48.01%,51.78%,48.01%,50.05%,44.20%,46.59%,44.20%,44.20%,39.25%,44.20%,42.93%,49.79%,43252073,0
"Lobotka, Stanislav",Словакия,DM,Parthenope,28,37.43%,69.55%,59.39%,69.55%,84.09%,67.21%,85.16%,67.21%,67.21%,75.68%,67.21%,64.88%,59.54%,63012964,0
"Palhinha, Joao",Португалия,DM,Fulham,28,38.64%,69.72%,85.12%,69.72%,84.38%,63.81%,80.98%,63.81%,63.81%,57.95%,63.81%,61.79%,64.74%,55070285,0
"Pulisic, Christian",США / Хорватия,AM RLC,AC Milan,24,35.66%,60.79%,50.14%,60.79%,59.23%,82.64%,73.98%,83.06%,84.79%,80.52%,85.09%,82.39%,73.95%,92074020,0
"Saliba, William",Франция / Камерун / Ливан,D C,Arsenal,22,37.23%,68.52%,85.08%,83.61%,66.59%,64.22%,65.00%,64.22%,64.22%,58.81%,64.22%,62.66%,65.79%,49039004,0
"Sterling, Raheem",Англия / Ямайка,AM RL,Chelsea,28,35.68%,62.14%,50.37%,62.14%,59.49%,83.79%,63.11%,84.13%,85.06%,76.24%,85.06%,80.66%,75.50%,28054109,0
"Konate, Ibrahima",Франция / Мали,D C,Liverpool,24,36.63%,65.54%,85.04%,65.54%,75.57%,58.80%,71.45%,58.80%,58.80%,53.43%,58.80%,56.23%,60.33%,48037822,0
Marquinhos,Бразилия / Португалия,"D C, DM",Paris SG,29,37.66%,69.24%,85.02%,84.50%,82.30%,62.79%,64.22%,62.79%,62.79%,57.12%,62.79%,60.38%,63.00%,19163495,0
"Sarabia, Pablo",Испания,AM RLC,Wolves,31,34.89%,59.18%,46.10%,59.18%,58.69%,83.66%,76.72%,83.66%,84.37%,82.26%,85.00%,68.38%,60.47%,67045428,0
"Fati, Ansu",Испания / Гвинея-Бисау,"AM RLC, F C",Brighton,20,33.17%,55.58%,46.59%,55.58%,54.58%,80.02%,59.36%,79.43%,83.90%,80.52%,83.31%,85.00%,77.67%,67276122,0
"Moreno, Gerard",Испания,"AM R, ST",Villarreal,31,33.76%,59.16%,54.03%,59.16%,60.30%,73.13%,63.62%,81.54%,78.82%,75.39%,82.70%,84.99%,83.09%,67115823,0
"Zaccagni, Mattia",Италия,AM LC,Lazio,28,32.66%,59.22%,47.92%,59.22%,69.16%,82.08%,74.50%,79.78%,84.98%,80.27%,81.59%,82.19%,73.14%,43125343,0
"Raspadori, Giacomo",Италия,"AM RLC, F C",Parthenope,23,33.33%,57.04%,47.32%,57.04%,57.43%,76.03%,62.20%,76.03%,82.48%,79.58%,82.48%,84.98%,78.80%,43316850,0
"Pavard, Benjamin",Франция,D RC,Inter,27,38.50%,82.61%,83.14%,84.93%,80.36%,64.55%,77.46%,64.55%,64.55%,59.23%,64.55%,61.46%,63.43%,85120944,0
Raphinha,Бразилия / Италия,AM RL,Barcelona,26,32.39%,61.39%,49.55%,61.39%,58.73%,82.44%,63.43%,84.59%,84.59%,64.56%,84.88%,79.57%,71.17%,19242277,0
"Tierney, Kieran",Шотландия / Англия,D LC,Real San Sebastian,26,36.27%,84.85%,72.94%,82.41%,63.78%,65.52%,63.95%,65.52%,65.52%,58.20%,65.52%,62.27%,61.08%,61070563,0
Gabriel,Бразилия,D C,Arsenal,25,35.69%,65.52%,84.83%,65.52%,63.07%,58.85%,60.79%,58.85%,58.85%,53.02%,58.85%,56.70%,61.68%,19242094,0
"Berardi, Domenico",Италия,AM R,Sassuolo,28,35.48%,58.61%,49.55%,58.61%,58.94%,67.85%,63.46%,81.92%,67.85%,74.32%,84.81%,81.61%,75.42%,43094553,0
"Morata, Alvaro",Испания,ST,A. Madrid,30,32.30%,60.34%,54.24%,60.34%,60.57%,75.65%,63.44%,73.14%,81.97%,74.83%,78.83%,84.77%,83.99%,67117360,0
Felipe Anderson,Бразилия,"AM RL, ST",Lazio,30,31.63%,61.85%,49.84%,61.85%,59.06%,81.87%,63.13%,81.87%,83.85%,76.89%,84.76%,82.35%,75.27%,19105713,0
"Costa, Diogo",Португалия / Швейцария,GK,FC Porto,23,84.75%,48.09%,49.90%,48.09%,52.95%,51.29%,53.79%,51.29%,51.29%,50.59%,51.29%,49.58%,50.24%,83169226,0
"Kovacic, Mateo",Хорватия / Австрия,DM,Man City,29,35.71%,67.15%,59.07%,67.15%,81.33%,82.03%,84.75%,82.03%,78.05%,79.64%,78.05%,67.83%,63.70%,24016925,0
"Mitrovic, Aleksandar",Сербия,ST,Al-Hilal (KSA),28,28.75%,59.13%,59.56%,59.13%,60.07%,64.18%,61.05%,64.18%,64.18%,59.33%,64.18%,80.97%,84.73%,62096282,0
"Diaz, Brahim",Марокко / Испания,AM RC,R. Madrid,23,34.31%,60.90%,47.78%,60.90%,58.91%,80.41%,77.34%,82.73%,82.23%,82.45%,84.72%,80.20%,69.87%,28106999,0
"Fernandez, Enzo",Аргентина,"DM, AM C",Chelsea,22,35.76%,66.04%,57.52%,66.04%,81.22%,68.51%,84.72%,68.51%,68.51%,80.25%,68.51%,67.60%,63.49%,14229525,0
"Elliott, Harvey",Англия,AM RC,Liverpool,20,35.63%,63.48%,51.54%,63.48%,62.99%,83.61%,82.79%,83.61%,83.61%,79.23%,84.72%,76.22%,69.37%,29233143,0
Bremer,Бразилия,D C,Juventus,26,34.91%,64.38%,84.69%,64.38%,62.47%,56.75%,58.89%,56.75%,56.75%,52.16%,56.75%,56.05%,60.43%,19270493,0
"Fullkrug, Niclas",Германия,ST,Borussia Dortmund,30,31.71%,57.75%,57.86%,57.75%,60.16%,75.54%,61.11%,75.54%,77.32%,72.15%,76.50%,81.67%,84.68%,92018043,0
"Laimer, Konrad",Австрия,"D/WB R, DM",FC Bayern,26,36.10%,81.97%,71.01%,84.66%,79.91%,77.62%,82.02%,77.62%,76.64%,68.75%,76.64%,62.18%,59.85%,16147659,0
"Gnabry, Serge",Германия / Кот-д'Ивуар,"AM RL, ST",FC Bayern,27,33.13%,60.40%,51.72%,60.40%,58.83%,83.03%,74.70%,83.03%,84.66%,78.50%,84.06%,84.49%,78.48%,28066083,0
Casemiro,Бразилия / Испания,DM,Man UFC,31,37.79%,68.85%,82.09%,68.85%,84.64%,65.27%,82.44%,65.27%,65.27%,59.44%,65.27%,62.89%,66.16%,19061518,0
"Eze, Ebere",Англия / Нигерия,AM LC,Crystal Palace,25,33.87%,59.16%,47.70%,59.16%,59.15%,83.82%,79.22%,82.94%,84.59%,83.40%,83.40%,67.66%,61.21%,29156522,0
"Dimarco, Federico",Италия,"D LC, M L",Inter,25,38.14%,83.77%,72.38%,67.02%,64.85%,84.57%,66.27%,68.68%,77.96%,63.18%,68.68%,65.31%,62.37%,43143488,0
"Schar, Fabian",Швейцария,D C,Newcastle,31,36.48%,66.29%,84.55%,79.02%,79.37%,61.49%,63.56%,61.49%,61.49%,58.08%,61.49%,60.80%,62.75%,98007212,0
David Neres,Бразилия,AM RL,Benfica,26,33.11%,54.28%,44.38%,54.28%,53.52%,83.27%,69.54%,83.94%,83.94%,81.25%,84.53%,83.15%,74.05%,19260918,0
Vitinha,Португалия,DM,Paris SG,23,38.23%,67.43%,56.80%,67.43%,81.96%,68.28%,84.52%,68.28%,68.28%,79.27%,68.28%,66.81%,60.88%,83174762,0
Fred,Бразилия,DM,Fenerbahce,30,36.59%,66.70%,53.37%,66.70%,78.95%,82.38%,84.51%,69.10%,82.38%,77.73%,69.10%,66.98%,61.06%,19159362,0
